Indice;Film;Oscar Year;Film Studio/Producer(s);Award;Year of Release;Movie Time;Movie Genre;Tomatometer Status;Tomatometer Rating;Tomatometer Count;Audience Status;Audience Rating;Audience Count
511;The Wolf of Wall Street;2013;Martin Scorsese, Leonardo DiCaprio, Joey McFarland, and Emma Tillinger Koskoff;Nominee;2013;180;Biography,Crime,Drama;Certified-Fresh;80.0;284.0;Upright;83.0;180827.0
512;Birdman or (The Unexpected Virtue of Ignorance);2014;Alejandro G. IÃ±Ã¡rritu, John Lesher, and James W. Skotchdopole;Winner;2014;119;Comedy,Drama;;;;;;
513;American Sniper;2014;Clint Eastwood, Andrew Lazar, Robert Lorenz, Bradley Cooper, and Peter Morgan;Nominee;2014;133;Action,Biography,Drama;;;;;;
514;Boyhood;2014;Richard Linklater and Cathleen Sutherland;Nominee;2014;165;Drama;Certified-Fresh;97.0;321.0;Upright;81.0;89725.0
515;The Grand Budapest Hotel;2014;Wes Anderson, Scott Rudin, Steven M. Rales, and Jeremy Dawson;Nominee;2014;99;Adventure,Comedy,Crime;Certified-Fresh;91.0;305.0;Upright;86.0;97547.0
516;The Imitation Game;2014;Nora Grossman, Ido Ostrowsky, and Teddy Schwarzman;Nominee;2014;114;Biography,Drama,Thriller;Certified-Fresh;89.0;281.0;Upright;91.0;103920.0
517;Selma;2014;Christian Colson, Oprah Winfrey, Dede Gardner, and Jeremy Kleiner;Nominee;2014;128;Biography,Drama,History;Certified-Fresh;99.0;308.0;Upright;86.0;61482.0
518;The Theory of Everything;2014;Tim Bevan, Eric Fellner, Lisa Bruce, and Anthony McCarten;Nominee;2014;123;Biography,Drama,Romance;Certified-Fresh;80.0;270.0;Upright;84.0;75918.0
519;Whiplash;2014;Jason Blum, Helen Estabrook, and David Lancaster;Nominee;2014;106;Drama,Music;Certified-Fresh;94.0;296.0;Upright;94.0;70212.0
520;Spotlight;2015;Blye Pagon Faust, Steve Golin, Nicole Rocklin, and Michael Sugar;Winner;2015;129;Biography,Crime,Drama;Certified-Fresh;97.0;367.0;Upright;93.0;70385.0
521;The Big Short;2015;Dede Gardner, Jeremy Kleiner, and Brad Pitt;Nominee;2015;130;Biography,Comedy,Drama;Certified-Fresh;88.0;322.0;Upright;88.0;69098.0
522;Bridge of Spies;2015;Steven Spielberg, Marc Platt, and Kristie Macosko Krieger;Nominee;2015;142;Drama,History,Thriller;Certified-Fresh;90.0;307.0;Upright;87.0;65466.0
523;Brooklyn;2015;Finola Dwyer and Amanda Posey;Nominee;2015;117;Drama,Romance;Certified-Fresh;97.0;269.0;Upright;87.0;46857.0
524;Mad Max: Fury Road;2015;Doug Mitchell and George Miller;Nominee;2015;120;Action,Adventure,Sci-Fi;Certified-Fresh;97.0;422.0;Upright;85.0;128344.0
525;The Martian;2015;Simon Kinberg, Ridley Scott, Michael Schaefer, and Mark Huffam;Nominee;2015;144;Adventure,Drama,Sci-Fi;Certified-Fresh;91.0;374.0;Upright;91.0;131656.0
526;The Revenant;2015;Arnon Milchan, Steve Golin, Alejandro G. IÃ±Ã¡rritu, Mary Parent, and Keith Redmon;Nominee;2015;156;Action,Adventure,Drama;Certified-Fresh;78.0;397.0;Upright;84.0;105270.0
527;Room;2015;Ed Guiney;Nominee;2015;118;Drama,Thriller;Certified-Fresh;93.0;312.0;Upright;93.0;49668.0
528;Moonlight;2016;Adele Romanski, Dede Gardner, and Jeremy Kleiner;Winner;2016;111;Drama;Certified-Fresh;98.0;384.0;Upright;79.0;45533.0
529;Arrival;2016;Shawn Levy, Dan Levine, Aaron Ryder, and David Linde;Nominee;2016;116;Drama,Sci-Fi;Certified-Fresh;94.0;426.0;Upright;82.0;83315.0
530;Fences;2016;Scott Rudin, Denzel Washington, and Todd Black;Nominee;2016;139;Drama;Certified-Fresh;92.0;265.0;Upright;75.0;36228.0
531;Hacksaw Ridge;2016;Bill Mechanic and David Permut;Nominee;2016;139;Biography,Drama,History;Certified-Fresh;84.0;277.0;Upright;91.0;55594.0
532;Hell or High Water;2016;Carla Hacken and Julie Yorn;Nominee;2016;102;Action,Crime,Drama;Certified-Fresh;97.0;280.0;Upright;88.0;40088.0
533;Hidden Figures;2016;Donna Gigliotti, Peter Chernin, Jenno Topping, Pharrell Williams, and Theodore Melfi;Nominee;2016;127;Biography,Drama,History;;;;;;
534;La La Land;2016;Fred Berger, Jordan Horowitz, and Marc Platt;Nominee;2016;128;Comedy,Drama,Music;Certified-Fresh;91.0;458.0;Upright;81.0;71314.0
535;Lion;2016;Emile Sherman, Iain Canning, and Angie Fielder;Nominee;2016;118;Biography,Drama;Certified-Fresh;84.0;264.0;Upright;91.0;39787.0
536;Manchester by the Sea;2016;Matt Damon, Kimberly Steward, Chris Moore, Lauren Beck, and Kevin J. Walsh;Nominee;2016;137;Drama;Certified-Fresh;96.0;347.0;Upright;78.0;50194.0
537;The Shape of Water;2017;Guillermo del Toro and J. Miles Dale;Winner;2017;123;Adventure,Drama,Fantasy;Certified-Fresh;92.0;448.0;Upright;72.0;25784.0
538;Call Me by Your Name;2017;Peter Spears, Luca Guadagnino, Emilie Georges, and Marco Morabito;Nominee;2017;132;Drama,Romance;;;;;;
